Data da Partida; Herói escolhido; PERDEU[ou]GANHOU; Monstro enfrentado; Quantidade de Rodadas
07/04/2025,Bárbaro,PERDEU,Orc,3
07/04/2025,Bárbaro,GANHOU,Morto Vivo,3
07/04/2025,Guerreiro,PERDEU,Morto Vivo,6
